sample	pop	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32
HRJJW3990	erythrogaster	-0.034161546	0.100824299	-0.027324221	-0.044726757	0.101324174	-0.054261016	0.022982551	-0.133661284	-0.062598586	0.074747776	0.050887483	-0.08276458	0.024269193	-0.041729842	-0.053496816	-0.012808371	0.007891534	0.01896311	-0.040311408	-0.009917299	-0.008226329	-0.009384698	-0.008667623	0.010174943	-0.020223124	-0.026369073	0.02031421	0.022961707	-0.014301683	0.004123536	-0.032582665	0.047204135
HRUAMX3948	erythrogaster	-0.031829524	0.094343679	-0.030244046	-0.024964724	0.115332777	-0.082060746	0.042585201	-0.145079377	-0.032568982	0.057892248	0.032313826	-0.072330404	0.009744544	-0.084808843	-0.021077942	-0.033171654	0.007414852	0.009573278	-0.034980113	-0.00529511	0.02236673	0.001392394	-0.000923952	-0.027669888	0.002013882	-0.005340696	-0.021817664	-0.026520844	-0.031195	0.010725371	-0.017751629	0.023439688
HRUWBM90119	erythrogaster	-0.026434557	0.092279244	-0.015118601	-0.000627982	-0.025330329	0.012488621	-0.012751534	-0.000718143	-0.005859549	-0.036377323	0.001787458	0.022619091	-0.027922851	0.06527689	0.022307936	0.052966178	0.003942819	0.034200921	-0.051881566	0.027111325	-0.037969318	-0.012997384	0.032680499	0.019644191	-0.017133747	-0.032179022	-0.022716346	0.058100178	-0.012987818	-0.007326502	-0.001536125	0.021372819
HRUWBM90117	erythrogaster	-0.031290851	0.089507472	-0.027566798	0.324181669	-0.028140672	0.005077978	-0.026194241	-0.048644088	0.042845746	-0.01829566	-0.03248376	0.015233842	-0.029389487	-0.093593869	-0.017655621	-0.051953848	0.010397484	0.014187309	-0.043528731	0.012817529	-2.66E-02	-0.032704362	0.077306735	-0.033526942	0.004223412	0.034436758	0.021763327	0.007328178	-0.027048261	0.022838221	-0.014898287	0.040836789
HR464	gutturalis	-0.043471716	0.015538225	0.006340322	-0.027904827	-0.016777935	0.045347849	-0.032221554	0.004236874	0.011134569	-0.035281477	-0.047598344	0.0716421	0.004075387	-0.060694535	-0.003054279	0.035147409	0.041292328	-0.010806749	-0.041492035	0.022141341	-0.049683174	-0.031789048	0.038689244	0.110556586	-0.067939358	0.082368577	0.002486251	0.022777951	-0.119039188	-0.016656945	0.031083663	-0.004881862
HR479	gutturalis	-0.052687598	-0.006706167	0.021179154	-0.029453973	-0.01965941	0.05111554	-0.012115695	0.00111012	0.010488953	-0.028105409	-0.027048286	0.075143636	0.008725369	-0.098431596	-0.058369982	0.06158798	0.019321908	0.068090723	-0.027850661	-0.02374342	0.007122755	0.068802977	-0.025026846	0.063354096	-0.083325983	0.042178267	0.034687421	-0.025212358	-0.048585582	0.029428874	0.131910228	-0.034028757
HR1223	gutturalis	-0.067793707	-0.011229328	0.019634912	-0.019140416	0.028332554	0.013227935	0.003376334	-0.025466396	0.038095266	-0.041179736	-0.025197191	0.038277969	-0.018532183	-0.091626279	-0.00731614	-0.01740186	-0.042696815	0.031619189	0.00790917	-0.040802078	0.024863302	-0.003804123	0.030364682	0.047987418	-0.022508953	0.020330829	-0.045900618	-0.054836665	-0.007156889	0.002797432	0.082197447	-0.061763906
HR1198	gutturalis	-0.074480819	-0.022395891	0.027291389	-0.008079817	-0.024761632	0.064181798	0.003703459	0.007646095	-0.001523603	-0.019207316	-0.005828534	0.031234825	0.001620852	-0.032043749	-0.074402948	-0.008308132	-0.024969257	0.071281545	-0.018342345	-0.007240961	0.002396252	0.01877576	-0.008225683	0.011666614	-0.045934398	0.001111114	0.028265664	0.0207192	0.047645139	-0.030613912	0.130113161	-0.017352764
HR1303	gutturalis	-0.054770235	-0.022831593	0.023991172	-0.032852212	-0.026392272	0.046389029	-0.02690414	0.004008286	3.52E-05	-0.008230695	-0.023246837	0.056190047	0.022659132	-0.102414362	-0.085676285	0.02979338	-0.067849262	0.016076942	-0.022993105	-0.056605836	0.076646211	0.050185481	0.021844515	-0.046215931	-0.135693986	-0.074900565	-0.0074847	0.009730329	-0.018726544	-0.017045599	-0.111664932	-0.011561336
HR1177	gutturalis	-0.069257612	-0.024599401	0.027887579	-0.015100057	-0.022888287	0.056355697	-0.015175918	-0.004251033	0.005679427	-0.025427365	-0.006953657	0.037214744	0.01092624	-0.029984723	-0.060745103	-0.030353855	-0.013481305	0.02941227	-0.014069239	-0.021095629	0.01851755	-0.012132154	-0.02154474	-0.038120871	-0.042026901	-0.013538139	-0.013420671	0.024877457	0.053583621	0.019998285	0.04449167	0.002686256
