indv,pop,lat,long,loc,hi_kitlg,hi_plxnc1,hi_spef2_prlr,hi_slc45a2,hi_tyrp1,hi_bnc2,hi_gnaq,hi_ror2,hi_apc_camk4,hi_ice1_lncrna,hi_pde1c
HRVN96144,hybrid,55.604921,98.58792,alzamay,0.1081316,1,0.4947611,0.4918959,0.4571994,0.3071448,0.4640403,0.5024851,0.5489598,1,1
HRVN96145,hybrid,55.603571,98.59323,alzamay,0.5080556,0.5297529,0.7874224,0.7701668,0.9866155,1,1,1,1,0,0.0836533
HRVN96198,hybrid,55.00048,98.848568,kamenka,0.0020995,0.0057291,0.4769524,0.7187312,0.3845763,0.4712459,0.4538426,0.4416211,0.5181346,0.7326392,0.9767337
HRVN96076,hybrid,54.798431,99.440598,hingui,0.3164502,0.9942531,0,0.1428745,0.0027483,0.0086013,0.0092139,0,0,0.2618078,0.6270165
HRVN96056,hybrid,54.791679,99.346519,hingui,0.1679839,0.1893633,0.3161291,0.7205581,0.5537246,0.4912092,0.2647901,0.7249168,0.5324951,1,0.4025934
HRVN96054,hybrid,55.07917,98.892647,uk,0.0733178,0,0,0,0,0.0584902,0,0,0,0,0
HRVN96158,hybrid,55.667468,98.448748,oblepiha,0.1945495,0.8528028,0.5576111,0.5301785,0.7700998,0.4907245,0.4501391,0,0,0.4413255,0.6199254
HRVN96153,hybrid,55.602505,98.597018,alzamay,0.0771606,0.0617491,0.4346854,0,0.0375633,0,0,0,0,1,0.9603636
HRVN96022,hybrid,55.001461,98.848758,mara,0.0121626,0.0395824,0,0,0.0188758,0,0,0,0,0.3207088,0.05266
HRVN96156,hybrid,55.667468,98.448748,oblepiha,0,0,0,0,0.0278826,0,0,0,0,1,0.8991305
HRVN96136,hybrid,56.028855,97.876773,kontorskaya,0,0.1092733,0.4110031,0.7290396,0.0292588,0,0.0169546,0,0,1,1
HRVN96159,hybrid,55.667468,98.448748,oblepiha,0.3622362,0.165802,0,0,0.0553277,0.2576739,0,0.0117734,0,0,0.0807906
HRVN96190,hybrid,55.36991,98.650885,zamzor,0,0,0,0,0.8310635,1,0,0,0,0.9493092,0.5301649
HRVN96138,hybrid,56.027308,97.859727,kontorskaya,0.1026524,0,0,0,0.011492,0.0134095,0.3661268,0.5495924,0.544627,0,0.0911698
HRVN96140,hybrid,56.026916,97.860036,kontorskaya,0.1475499,0.3941958,0,0,0.0636484,0.0149436,0.0078407,0,0,0.1199792,0.3453238
HRVN96137,hybrid,56.028855,97.876773,kontorskaya,0,0,0,0.0494676,0.0243969,0.1430574,0.0070853,0,0,0,0.7323878
HRVN96055,hybrid,55.07917,98.892647,uk,0.764639,0,0,0.1852674,0.0087588,0.0568949,0,0,0,0.3627162,0
HRVN96166,hybrid,55.884553,98.132103,byronovka,0,0,0,0.4514668,0.0544531,0,0.004333,0,0,0,0
HRVN96154,hybrid,55.864198,98.026687,berezovka,0,0,0,0,0.0697988,0.0055791,0.0105384,0,0,0.9343623,0
HRVN96165,hybrid,55.884553,98.132103,byronovka,0.0082084,0,0,0.156521,0.0743141,0,0.0373103,0,0,0.9152049,0.1711985
HRVN96161,hybrid,55.667468,98.448748,oblepiha,0.0030756,0,0,0,0.0140354,0.2959999,0,0,0.0025436,0,0
HRVN96182,hybrid,55.368208,98.654409,zamzor,0.0022252,0.7018325,0,0.0814889,0.0182248,0,0.5753087,0,0,0.0833112,0
HRVN96151,hybrid,55.602433,98.596733,alzamay,0,0.1804269,0,0,0.1971963,0.5236794,0.4859533,0.4687182,0.5317313,0,0
HRVN96152,hybrid,55.602505,98.597018,alzamay,0,0,0,0.0766843,0.0420072,0,0,0.0097262,0.0117342,0,0.1342569
HRVN96157,hybrid,55.667468,98.448748,oblepiha,0.0049752,0.0158446,0,0,0,0,0.1522899,0,0,0.5348977,0.2437914
HRVN96141,hybrid,56.027308,97.859727,kontorskaya,0,0,0,0,0.036439,0.2759052,0,0,0,0.1946047,0.1051196
HRVN96163,hybrid,55.667468,98.448748,oblepiha,0.0022365,0.0114675,0,0,0.0075545,0.0885959,0.0070603,0,0,0,0.7341579
HRVN96171,hybrid,55.859548,98.026489,berezovka,0,0,0,0,0.0609062,0,0,0,0,0.6403794,0.9768303
HRVN96053,hybrid,55.080261,98.895248,uk,0,0,0,0.000603,0,0.0095269,0,0,0,0.071381,0
HR151,hybrid,55.603527,98.593486,alzamay,0.8185471,1,0.6879614,1,0.9812877,1,1,1,1,1,0.8816418
HR170,hybrid,55.884916,98.131117,byronovka,0.8940315,1,1,0.9940633,0.9527926,0.9725001,0.4685355,1,1,0.9169584,0.5317457
HR176,hybrid,55.547978,98.666764,alzamay,0.957721,0.925884,1,1,0.8433587,0.8005274,1,1,1,1,1
HR184,hybrid,55.37385,98.652222,zamzor,1,0.9818033,1,0.8190608,0.9281768,1,1,1,1,1,0.9566891
HR187,hybrid,55.37385,98.652222,zamzor,1,1,0.9657495,1,0.9599622,1,0.5486725,1,1,0.3862379,1
HR192,hybrid,55.36991,98.650885,zamzor,0.0047039,0.3155081,0,0.0385423,0.3166616,0.6688583,0.4411978,0,0.0025202,1,1
HR199,hybrid,55.37385,98.652222,zamzor,1,1,0.6030011,0.6432447,0.9443622,1,1,1,1,1,0.9750288
HR208,hybrid,55.00048,98.848568,kamenka,0.3536538,0.3104555,1,1,0.9423539,1,1,1,1,1,0.7944737
HR211,hybrid,55.00048,98.848568,kamenka,0.7318282,0.4127501,0.9895991,1,0.9926604,1,1,1,1,1,0.9623291
HR223,hybrid,55.001461,98.848758,mara,1,0.6187149,1,1,0.8561283,0.882906,0.9828714,0.3592676,0.4722686,1,1
HR239,hybrid,55.07703,98.869179,uk,1,0.9653298,0.7335065,0.581899,0.9760012,1,0.9894427,1,1,0.3001852,0.5464612
HR251,hybrid,55.079891,98.895042,uk,1,1,1,1,0.9707905,1,1,0,0,0,0.9860203
HR265,hybrid,54.795311,99.343658,hingui,0.8231578,1,1,0.9783648,0.9935606,0.9855846,0.9404384,1,1,1,1
HR271,hybrid,54.798431,99.440598,hingui,0.7584673,1,0,0,0.0047882,0.06682,0.0117584,1,1,0.6045156,0.8007867
HR275,hybrid,54.798431,99.440598,hingui,0.3335867,0,0,0.1046248,0.003096,0,0,0.0108686,0,1,1
HR278,hybrid,54.798431,99.440598,hingui,0.2793482,0.7844443,1,0.6979556,1,1,1,1,1,1,0.3797881
HRNB030,tytleri,52.021259,106.590942,zakaltoose,1,1,1,0.8631241,1,1,1,1,1,0.1750563,1
HRNB022,tytleri,52.021259,106.590942,zakaltoose,1,1,0.7105034,1,1,0.9058474,1,1,1,1,1
HRNB031,tytleri,52.021259,106.590942,zakaltoose,1,1,0.4231628,1,1,0.8200881,1,1,1,0.995935,0.9383694
HRNB027,tytleri,52.021259,106.590942,zakaltoose,0.4789644,1,1,1,1,1,0.6683575,1,1,1,1
HRNB028,tytleri,52.021259,106.590942,zakaltoose,1,1,1,1,1,1,1,1,1,1,1
HRNB040,tytleri,52.021259,106.590942,zakaltoose,0.8945179,0.4188775,1,1,1,1,1,1,1,0.7960398,0.8885473
HRNB033,tytleri,52.021259,106.590942,zakaltoose,0.9300779,1,1,1,1,1,1,1,1,0,0.4880996
HRNB019,tytleri,52.021259,106.590942,zakaltoose,0.6817287,1,1,1,0.9959361,1,1,1,1,1,1
HRNB038,tytleri,52.021259,106.590942,zakaltoose,0.907059,0.7266645,0.8214719,0.4932746,0.8482145,1,0.7525647,1,1,1,1
HRNB029,tytleri,52.021259,106.590942,zakaltoose,1,1,0.2614649,0.1282865,0.9582325,1,1,0,0,1,0.7940115
HRNB041,tytleri,52.021259,106.590942,zakaltoose,0.7227592,0.8753752,1,1,1,1,1,1,1,1,1
HR302,tytleri,53.39529,102.857567,malamolevo,1,0.9680947,0.8546686,1,1,1,1,1,1,1,1
HR303,tytleri,53.389091,102.871307,malamolevo,0.4135017,1,1,0,1,1,1,1,1,1,0.8891547
HR307,tytleri,53.402512,102.774933,kytyleek,0.8317641,1,1,0.6988994,1,1,1,1,1,1,1
HR309,tytleri,53.402512,102.774933,kytyleek,1,1,1,1,0.9163123,1,1,1,1,1,1
HR316,tytleri,52.021259,106.590942,zakaltoose,1,1,1,1,1,1,1,1,1,0.8959347,0
HR318,tytleri,52.021259,106.590942,zakaltoose,0.8305085,0.4495464,0.8342407,1,1,1,1,1,1,0,1
HR319,tytleri,52.021259,106.590942,zakaltoose,0.2666385,1,1,1,1,1,0.9910409,0,0.2286509,1,0.7924428
HR324,tytleri,52.021259,106.590942,zakaltoose,1,0.8900917,1,1,0.9950434,1,1,1,1,0.7505047,0.7046043
HR326,tytleri,52.021259,106.590942,zakaltoose,0.8099073,0.6046141,0.6799479,0.9610168,0.9993187,0.9593944,0.9980666,1,0.8973762,0.5686344,0.5888108
HR327,tytleri,52.021259,106.590942,zakaltoose,1,1,1,0.75822,1,1,0.5285751,0.5405747,0.5380346,0.0823635,0.2022021
