indv,pop,lat,long,loc,hi_kitlg,hi_plxnc1,hi_spef2_prlr,hi_slc45a2,hi_bnc2,hi_gnaq,hi_ror2,hi_apc_camk4,hi_ice1_lncrna,hi_pde1c
HR1512,hybrid,47.698163,106.953536,zuunmod,0.0863606,0.6282337,0.0225551,0.2028024,0.4768198,0,0.3889682,0.1368899,0,0.3177436
HR1086,gutturalis,34.345668,108.804166,xian,1,0.5800716,1,1,0.7765499,0.819761,0.9502782,1,0,1
HR1097,gutturalis,34.345878,108.8061,xian,1,1,1,0.4448165,1,1,1,1,0,0.5369631
HR1102,gutturalis,34.34551,108.80328,xian,1,0.6936162,1,1,0.7358766,0.9858723,1,1,0,0.4219635
HR1094,gutturalis,34.345602,108.804064,xian,1,0.8281362,1,1,1,1,1,1,0,1
HR1099,gutturalis,34.34585,108.806332,xian,1,1,1,0.3833282,0.8423871,0.8826961,1,1,1,1
HR1093,gutturalis,34.345602,108.804064,xian,1,1,1,1,1,1,1,1,1,0.8771143
HR1103,gutturalis,34.34575,108.804787,xian,0.6489599,1,1,0.8296722,1,1,1,1,1,1
HR1105,gutturalis,34.345581,108.803438,xian,1,1,1,1,1,1,1,1,0.9116077,0.7114619
HR1098,gutturalis,34.345831,108.806155,xian,0.9026229,1,0.2204126,0.7615025,1,1,1,1,1,1
HR1100,gutturalis,34.34585,108.806332,xian,0.6842545,1,1,1,1,0.4062021,1,1,1,1
HR1089,gutturalis,34.345502,108.803216,xian,1,1,1,1,1,1,1,1,0,1
HR1104,gutturalis,34.345581,108.803438,xian,1,0.8461378,1,1,1,1,1,1,0,1
HR1091,gutturalis,34.345586,108.804045,xian,1,0.8890503,1,0.3673365,1,1,1,1,1,1
HR1095,gutturalis,34.345479,108.803325,xian,1,0.2086714,1,0.9433811,1,1,1,1,1,1
HR1003,gutturalis,18.983182,109.494661,hainan,1,0.8029035,1,1,0.9278416,0.8101664,1,1,0,1
HR1015,gutturalis,19.271525,109.04566,hainan,1,1,1,1,0.9285923,0.5345612,1,1,0,1
HR1019,gutturalis,19.272785,109.044973,hainan,1,0.885266,1,1,1,1,1,1,1,0.8315032
HR1021,gutturalis,22.791937,108.330895,nanning,1,1,1,1,1,0.0963955,1,1,1,1
HR1036,gutturalis,22.791924,108.318192,nanning,1,1,1,0.6093422,1,1,1,1,0,0.958987
HR1040,gutturalis,28.401219,112.807309,changsha,1,1,1,1,1,0.3249586,1,1,0,1
HR1041,gutturalis,28.400926,112.806638,changsha,0.3262774,0.8433374,1,1,0.9010623,1,1,1,1,1
HR1051,gutturalis,28.406485,112.807168,changsha,1,1,1,1,0.9284656,0.8185359,1,1,1,1
HR1058,gutturalis,34.780917,113.651164,zhengzhou,0.7762837,1,1,1,1,1,1,1,1,1
HR1075,gutturalis,34.841651,113.676505,zhengzhou,1,1,0.9370455,0.8604185,1,1,1,1,1,1
HR1107,gutturalis,38.461518,106.286518,yinchaun,1,1,1,1,1,0.9327072,1,1,1,1
HR1158,gutturalis,40.551872,109.999407,baotu,1,1,0.4282009,0.917735,0.8179219,0.3559864,1,1,0,1
HR1162,gutturalis,40.569825,110.02473,baotu,1,0.3369021,0.6475563,0,0.7486788,0.7285516,1,1,1,0.8605989
HR1171,gutturalis,39.819231,116.332896,beijing,1,1,0.7594223,0,0.6873305,1,1,1,1,1
HR1177,gutturalis,46.59295,131.248593,shuang,0.8800982,0.6302519,0.6635887,0.6652084,1,0.0416975,1,1,0,1
HR1198,gutturalis,46.621317,131.205603,shuang,0.3494802,0,0.3453,1,1,0.3047905,1,1,1,1
HR1223,gutturalis,47.340427,123.97338,qiqihar,0.2797287,0.8324544,0.620786,0,0,0.0733391,0.3949946,1,0.234074,0.9440026
HR1224,gutturalis,47.337668,123.977624,qiqihar,1,1,0.4943737,1,1,1,1,0.9834251,0.3181498,1
HR1777,gutturalis,39.92558,119.594752,qinhuangdao,0,0.9035135,0.2244274,0.8848456,1,1,1,1,1,0.8693897
HR1791,gutturalis,39.92558,119.594752,qinhuangdao,1,0.9585457,0.625512,1,1,1,1,1,0,1
HR1798,gutturalis,41.808232,123.525653,shenyang,0.3373983,0.9411452,0.7916679,0,1,1,0,1,1,0.2643849
HR1808,gutturalis,43.906216,125.314668,changchun,0.1122623,1,0.2219431,0.9939932,0.822944,0.9751364,1,1,0,0.4198895
HR1822,gutturalis,43.905951,125.315042,changchun,0.558908,0.0015547,0.5721942,0.6548927,0.806983,0.3079365,0.8368768,1,1,0.243184
HR1838,gutturalis,45.761237,126.609063,harbin,0.0105332,0.1553064,0.3002279,1,0.825464,1,1,1,0.5621448,0.2696031
HR1848,gutturalis,45.761237,126.609063,harbin,0.0104734,0.5570817,0.3523226,0.779031,0.515391,1,1,1,1,0.5460209
