indv,pop,lat,long,loc,hi_kitlg,hi_plxnc1,hi_spef2_prlr,hi_slc45a2,hi_bnc2,hi_gnaq,hi_ror2,hi_apc_camk4,hi_ice1_lncrna,hi_pde1c
HR2091,hybrid,36.23280102,103.426025,Lanzhou,0.9998946,0,1,1,0,1,1,1,1,1
HR2093,hybrid,36.23307201,103.426755,Lanzhou,1,1,0.6872131,0.8978402,0.6390435,1,1,0.985994,1,0.4540393
HR2094,hybrid,36.23307201,103.426755,Lanzhou,1,1,0.923091,1,0.7607565,1,1,1,1,0.0550132
HR2027,hybrid,36.23639703,103.432647,Lanzhou,0.0837823,0.3923356,0.9894283,1,0.729165,1,1,0.9954003,1,0.8020786
HR2023,hybrid,36.23712198,103.432808,Lanzhou,0.0071485,0.468569,0.6668942,1,0.9930247,0.4888714,1,0.9939462,0.9737292,0.9164497
HR2014,hybrid,36.23740998,103.423001,Lanzhou,0.9975884,0.9916675,1,0.6551691,0.0112547,1,1,1,0.9149716,0.2592421
HR2021,hybrid,36.239239,103.431846,Lanzhou,0.728652,0.5412063,1,1,1,1,1,0.9976779,1,1
HR2079,hybrid,36.24233502,103.430637,Lanzhou,1,1,0.0138199,1,1,0.7646326,1,1,1,0.0995526
HR2020,hybrid,36.24233502,103.430637,Lanzhou,1,1,0.9892036,1,0.9930435,0.9725895,1,0.9905845,0,0.3082126
HR2077,hybrid,36.23296397,103.426167,Lanzhou,0.9955327,0.4542915,0.6081636,1,0.993785,0.5981512,1,0.9953681,1,1
HR2069,hybrid,39.71937996,98.50991101,Jiuquan,0,0.0375161,0.0126407,0.0156236,0.123119,0.0085272,0,0.0089136,0.3509238,0
HR2123,hybrid,39.719702,98.50946099,Jiuquan,0.0021081,0.2211917,0.0061116,0.1751166,0,0,0.4833244,0.0022004,1,0.3404922
HR1652,hybrid,39.71926698,98.51089597,Jiuquan,0,0,0.0276788,0,0.2744085,0,0,0,0,0.0133107
HR2066,hybrid,39.71961298,98.50902203,Jiuquan,0,0.5644673,0.6775087,0.4615766,0.5619526,0.6144654,0.5187822,0.4561285,0,0
HR2068,hybrid,39.71955104,98.50938203,Jiuquan,0,0.0247388,0,0,0,0,0,0,0.6024872,0.0133147
HR2070,hybrid,39.71937996,98.50991101,Jiuquan,0.7838703,0.0644163,1,0.965556,0,0,0,0,0,0.8209894
HR2072,hybrid,39.71937996,98.50991101,Jiuquan,0.0040706,0.4051546,0.014295,0.1830129,0,0,0,0,0.3934893,0.2080762
HR2074,hybrid,39.71926698,98.51089597,Jiuquan,0,0.7164736,0.0064175,0,0,0,0,0,1,1
HR2121,hybrid,39.71978104,98.50927298,Jiuquan,0.2274316,0.3285747,1,1,0,0.0193381,0.0023084,0,0.8466787,0.377836
HR2122,hybrid,39.719702,98.50946099,Jiuquan,0,0,1,1,0,0.006665,0,0,0.1011055,0.321169
HR2114,hybrid,38.94158897,100.43576,Zhangye,0.7254319,0.9522625,0.6594106,0.3975916,0.6458328,0.5332882,0.4910817,0.4630598,0.0801997,0
HR2054,hybrid,38.94748396,100.434662,Zhangye,0.0022818,0,0.635214,0,0,0,0.0165241,0.0417432,0,0.2331821
HR2105,hybrid,38.98844297,100.438037,Zhangye,0,0.1569752,0,0,0,0,0,0,0.532218,0.9618989
HR2059,hybrid,38.98855101,100.43746,Zhangye,0,0.6347268,0.0060057,0,0,0,0.0121995,0,0.0327556,0.7916264
HR2058,hybrid,38.98859099,100.436512,Zhangye,0.7357056,0.6956076,0,0,0,0.051803,0,0,0,0.4071909
HR1705,hybrid,38.941048,100.434729,Zhangye,0.0109763,0.5135904,0.4438815,0,0,0.0047923,0,0,0.3246628,0.0130042
HR2063,hybrid,38.94131597,100.436633,Zhangye,0.1076778,0,0.985266,1,0,0.1915817,1,0.9523848,1,0.0171227
HR2107,hybrid,38.98809303,100.439825,Zhangye,0,1,0.0128447,0.067154,0.5234332,0.4591291,0.5439234,0.4981933,0.373132,0.1850495
HR2116,hybrid,38.93728302,100.439467,Zhangye,1,0.7990969,0,0.0992667,0,0.3507676,0.6112873,0.464696,0.0755871,0.456296
HR2101,hybrid,38.94130801,100.434887,Zhangye,0,0,0.9181307,0.0772151,0,0.0085866,0.2729858,0,0,0
HR2044,hybrid,38.93708504,100.439391,Zhangye,0,0,0,0,0.2915338,0,0,0,0.548395,0
HR2050,hybrid,38.94310098,100.435768,Zhangye,0.0722312,0.5412015,0,0,0.5054331,0.4985565,0,0,0.4479979,0.1380386
HR2113,hybrid,38.94281801,100.435808,Zhangye,0,0.0011277,0,0.029899,0,0,0,0,0.8689555,0.3962381
HR2102,hybrid,38.94161504,100.435897,Zhangye,0,0,0.9662959,1,0,1,1,1,0,0.0757568
HR2111,hybrid,38.94310098,100.435768,Zhangye,0,0,0,0,0,0,0.0178103,0,0.6423651,0.0109846
HR2115,hybrid,38.98859099,100.436512,Zhangye,0,0,0.8575153,1,0.8131375,1,1,1,0.0600233,0
HR2110,hybrid,38.94869498,100.433991,Zhangye,0,0.3164002,0,0,0,0.2401403,0,0,1,0
HR1723,hybrid,39.361411,99.813419,gaotai,0,0.3985458,0.9012461,0.0080459,0,0,0,0,0,0
HR1736,hybrid,40.279993,97.029344,yumen,0,0.7595179,0,0,0,0,0,0,0.1388607,0.008949
HR1744,hybrid,37.88896,102.62696,wuwei,0.8247446,1,0,0.0381789,1,1,1,1,0.2819202,0
HR1747,hybrid,37.88896,102.62696,wuwei,0.4998107,0.9807441,0.8587818,1,0.9190457,1,1,0.9945042,0.4378052,0.6475595
HR1758,hybrid,37.888956,102.626964,wuwei,0.3190692,0.4281581,1,0,0,0,0,0,1,0.6118803
HR1760,hybrid,37.88896,102.62696,wuwei,0.8303346,0.1192749,0.0393589,0,0,0,0,0,1,0.3562948
HR1763,hybrid,37.888956,102.626964,wuwei,1,0.4307274,0.9606873,1,1,1,0.6905661,0.9565772,0,0.1857823
HR1661,hybrid,39.71961298,98.50902203,jiuquan,0,0,0,0,0,0,0,0,0.8536228,0.2996663
HR1712,hybrid,38.94130801,100.434887,zhangye,0,0,0.0128014,0,0.5048393,0.4190056,0.4484927,0.446164,0,0
HR2005,hybrid,36.23339002,103.426215,lanzhou,0.0574378,1,1,0,1,0,1,1,0,0.962219
HR2013,hybrid,36.23354802,103.425527,lanzhou,0,1,1,1,1,0.9596087,1,1,0.3616364,0.3757124
HR2025,hybrid,36.23642603,103.433166,lanzhou,0.4594109,0.9036131,1,1,1,0.907376,0.9982254,0.9937966,1,0.7808698
HR2028,hybrid,36.24323096,103.430295,lanzhou,0.9036439,1,1,1,0.8051945,0.934357,0.9906873,0.9885803,1,0.4201321
HR2035,hybrid,38.937682,100.439127,zhangye,0,0,0.0089053,0,0,0,0,0,1,0.9878043
HR2036,hybrid,38.93728302,100.439467,zhangye,0,0.0925004,0,0.1614863,0,1,0,0,0.8395571,0.3198984
HR2049,hybrid,38.94281801,100.435808,zhangye,0.3237625,0,0.0132081,0.1705799,0,0.0127463,0,0,0.7990559,0
HR2057,hybrid,38.98859099,100.436512,zhangye,0.2764084,0.5313759,0.4918106,0.1696081,0.0068599,0.0031851,0.5031442,0.4021174,0,0
HR2061,hybrid,38.98825102,100.437692,zhangye,0,0,0.0060817,0.1038852,0,0,0,0.002008,0.1195496,0.3027727
HR2065,hybrid,38.98812999,100.439629,zhangye,0,0.209069,0.0107753,0,0,0.400937,0.0130703,0.0019951,1,0.6601735
HR2067,hybrid,39.719702,98.50946099,jiuquan,0,0,0,0.1104254,0.7311758,0.3996164,0,0,1,0.690331
HR2071,hybrid,39.71978104,98.50927298,jiuquan,0,0,0,0.5997943,0.5025688,0,0.5219036,0.4443417,0.8006368,0.693924
HR1086,gutturalis,34.345668,108.804166,xian,1,0.8761867,1,0.3378485,0.9998764,1,1,1,1,1
HR1097,gutturalis,34.345878,108.8061,xian,0.9689113,1,1,1,0.8957755,1,1,1,1,1
HR1102,gutturalis,34.34551,108.80328,xian,1,0.4105583,1,1,0.9569318,0.6408937,0.9894836,1,1,0.8347185
