	A	B	C	D	E	F	G	H	I	J
A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B	0.072	NA	NA	NA	NA	NA	NA	NA	NA	NA
C	0.06	0.034	NA	NA	NA	NA	NA	NA	NA	NA
D	0.107	0.032	0.112	NA	NA	NA	NA	NA	NA	NA
E	0.058	0.044	0.069	0.087	NA	NA	NA	NA	NA	NA
F	0.062	0.039	0.092	0.091	0.077	NA	NA	NA	NA	NA
G	0.041	0.043	0.059	0.048	0.088	0.072	NA	NA	NA	NA
H	0.048	0.034	0.053	0.038	0.057	0.054	0.05	NA	NA	NA
I	0.064	0.054	0.046	0.042	0.05	0.042	0.044	0.044	NA	NA
J	0.036	0.035	0.034	0.032	0.031	0.033	0.023	0.055	0.045	NA
