	A	B	C	D	E	F	G	H	I	J
A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B	0.038	NA	NA	NA	NA	NA	NA	NA	NA	NA
C	0.034	0.04	NA	NA	NA	NA	NA	NA	NA	NA
D	0.03	0.032	0.126	NA	NA	NA	NA	NA	NA	NA
E	0.037	0.032	0.054	0.042	NA	NA	NA	NA	NA	NA
F	0.039	0.03	0.038	0.043	0.044	NA	NA	NA	NA	NA
G	0.028	0.034	0.039	0.034	0.044	0.039	NA	NA	NA	NA
H	0.095	0.033	0.074	0.054	0.083	0.089	0.097	NA	NA	NA
I	0.036	0.04	0.224	0.106	0.021	0.038	0.017	0.04	NA	NA
J	0.025	0.031	0.045	0.045	0.03	0.023	0.022	0.029	0.072	NA
